username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Cebuinformer;2018-11-15 01:44;0;0;"30 houses went up in smoke: Lorega fire kills 1 https://cebuinformer.com/221587/30-hous es-went-up-in-smoke-lorega-fire-kills-1/ … pic.twitter.com/LB1QFJL4JN";;;;"1062763218542698496";https://twitter.com/Cebuinformer/status/1062763218542698496
cebudailynews;2018-11-14 21:20;0;1;"Fire hits Barangay Lorega , Cebu City https://cebudailynews.inquirer.net/203596/fire-hi ts-barangay-lorega-cebu-city?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1542198022 …";;;#Echobox;"1062696893153730560";https://twitter.com/cebudailynews/status/1062696893153730560
DelleraFaith;2018-11-14 19:24;1;8;"pray for lorega ! Firetrucks keep passing through my school.";;;;"1062667486145863681";https://twitter.com/DelleraFaith/status/1062667486145863681
atonibaicebu;2018-11-14 17:27;0;0;"Fire broke in Lorega https://www.facebook.com/100008540433376/posts/1968935793401083/ … https://www.facebook.com/cebucity/posts /10156723830151250 …";;;;"1062638166635622400";https://twitter.com/atonibaicebu/status/1062638166635622400
cebudailynews;2018-11-14 17:09;0;0;"LOOK: Remains of Amado Opura who died in a fire that hit Barangay Lorega San Miguel, Cebu City | Junjie Mendoza pic.twitter.com/QwgwvHvUOw";;;;"1062633620534321152";https://twitter.com/cebudailynews/status/1062633620534321152
atonibaicebu;2018-11-14 17:02;0;0;"Fire broke in Lorega https://www.facebook.com/100008540433376/posts/1968935793401083/ … https://www.facebook.com/311876150591/p osts/10155830028240592/ …";;;;"1062631929361645569";https://twitter.com/atonibaicebu/status/1062631929361645569
cebudailynews;2018-11-14 16:43;2;3;"One is confirmed dead after a fire struck a densely populated area in Barangay Lorega San Miguel, Cebu City past 3 p.m. today, Wednesday. Read more: https://cebudailynews.inquirer.net/203591/one-dea d-in-lorega-fire#ixzz5Woi1NNlN … pic.twitter.com/Ppa00n5D8p";;;#ixzz5Woi1NNlN;"1062627107648360448";https://twitter.com/cebudailynews/status/1062627107648360448
cebudailynews;2018-11-14 16:37;1;2;"LOOK: More scenes during the fire that hit Barangay Lorega , Cebu City | Junjie Mendoza pic.twitter.com/rjIZJHmFGV";;;;"1062625600576282624";https://twitter.com/cebudailynews/status/1062625600576282624
TheFreemanNews;2018-11-14 16:21;0;3;"LATEST: One dead in ongoing Lorega fire in Cebu City, confirms Fire Marshall Noel Nelson Ababon | via Rowena Capistrano pic.twitter.com/TChoylFwfs";;;;"1062621498026807296";https://twitter.com/TheFreemanNews/status/1062621498026807296
cebudailynews;2018-11-14 16:10;0;2;"LOOK: Cebu Vice Mayor Edgardo Labella comforted two kids after they were left behind by their family in a fire that hit Barangay Lorega , Cebu City | Junjie Mendoza pic.twitter.com/TWmvHha9IT";;;;"1062618740288708608";https://twitter.com/cebudailynews/status/1062618740288708608
CebuFlashReport;2018-11-14 16:08;0;0;"#CFRSunogUpdate Fire under control at Brgy. Lorega . https://www.facebook.com/cebuflashrepor t/videos/176725469944680/ …";;;#CFRSunogUpdate;"1062618321709875200";https://twitter.com/CebuFlashReport/status/1062618321709875200
cebudailynews;2018-11-14 16:08;2;0;"WATCH: Firefighters retrieve uncooked chicken that were left in a lechon-manok (roast chicken) station during the fire that hit Barangay Lorega , Cebu City | Morexette Erram pic.twitter.com/0e1nJQXsd2";;;;"1062618159851565056";https://twitter.com/cebudailynews/status/1062618159851565056
rapplerdotcom;2018-11-14 15:49;3;9;"Fire alert: A fire in Sitio San Miguel, Barangay Lorega , Cebu City has been raised to third alarm. : Jake Yap pic.twitter.com/elO1i6SgJ6";;;;"1062613501460471808";https://twitter.com/rapplerdotcom/status/1062613501460471808
cebudailynews;2018-11-14 15:48;1;2;"Fire in Barangay Lorega , Cebu City now under control | @ememsanCDN https://twitter.com/cebudailynews/status/1062601046789316608 …";;@ememsanCDN;;"1062613185927106560";https://twitter.com/cebudailynews/status/1062613185927106560
BrgyTalamban;2018-11-14 15:41;0;0;"FIRE ALARM!!!! NEWS UPDATE: The fire which hit an urban poor community in Sitio San Miguel, Barangay Lorega , Cebu City was already raised to third alarm. The fire was reported at 3:08 p.m. and affected structures built along the new Imus road.";;;;"1062611586987294720";https://twitter.com/BrgyTalamban/status/1062611586987294720
henry_manatad;2018-11-14 15:37;0;0;"Fire in Barangay Lorega - San Miguel along Imus Road. Heavy traffic in the connecting General Maxilom Ave. and M.J. Cuenco Avenue";;;;"1062610532371435525";https://twitter.com/henry_manatad/status/1062610532371435525
cebudailynews;2018-11-14 15:33;1;2;"NEWS UPDATE: The fire which hit an urban poor community in Sitio San Miguel, Barangay Lorega , Cebu City was already raised to third alarm. The fire was reported at 3:08 p.m. and affected structures built along the new Imus road | @dbongcac pic.twitter.com/u0h74IL22O";;@dbongcac;;"1062609470906261504";https://twitter.com/cebudailynews/status/1062609470906261504
cebudailynews;2018-11-14 15:31;0;2;"LOOK: Scenes during the fire that hit Barangay Lorega , Cebu City | Junjie Mendoza pic.twitter.com/MyUGUks5CK";;;;"1062609041937981440";https://twitter.com/cebudailynews/status/1062609041937981440
TheFreemanNews;2018-11-14 15:27;1;2;"LOOK: Fire razes houses in Sitio San Miguel, Barangay Lorega , Cebu City | via Aldo Banaynal pic.twitter.com/FMRR3ntq5W";;;;"1062607917067624449";https://twitter.com/TheFreemanNews/status/1062607917067624449
cebudailynews;2018-11-14 15:24;3;15;"LOOK: Houses and establishments were burned in a fire that hit Barangay Lorega , Cebu City this afternoon ( November 14) | Junjie Mendoza and Paul Lauro pic.twitter.com/qtTKY8aHP9";;;;"1062607193877307393";https://twitter.com/cebudailynews/status/1062607193877307393
