username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kenneth_corvera;2018-12-05 19:50;0;0;"MISSING DOG Hi guys, we're asking for your help. You might find our dog Chang-Chang especially Lahug, Camputhaw or Gorordo area.";;;;"1070284360010657792";https://twitter.com/kenneth_corvera/status/1070284360010657792
EliVillagonzalo;2018-12-05 17:22;0;0;"I heard there was a big fire in Camputhaw this morning. How are you there ate Kathleen, IanTonyo?";;;;"1070246979073040385";https://twitter.com/EliVillagonzalo/status/1070246979073040385
VECO_Cebu;2018-12-05 13:36;0;1;"READ: Please be informed that there is an emergency power interruption in portion of Sitio Bakilid, Camputhaw , Cebu City. This is due to the fire incident in the area. Estimated restoration time is not yet determined. pic.twitter.com/zh6ZmZpcBM";;;;"1070190217787772928";https://twitter.com/VECO_Cebu/status/1070190217787772928
_shilavelez;2018-12-05 11:31;0;1;"Camputhaw is on fire again, thank God we're safe!";;;;"1070158769441501184";https://twitter.com/_shilavelez/status/1070158769441501184
ajhanessaaa;2018-12-05 11:25;0;1;"Camputhaw always gets on fire";;;;"1070157243499208704";https://twitter.com/ajhanessaaa/status/1070157243499208704
nieluarfy;2018-12-05 11:05;0;1;"Fire at Camputhaw again";;;;"1070152252621434882";https://twitter.com/nieluarfy/status/1070152252621434882
jed_oyangoren;2018-12-05 10:49;0;1;"Huge fire somewhere in Camputhaw , Cebu. @cebudailynews pic.twitter.com/ic1NTCvE3m";;@cebudailynews;;"1070148191708864512";https://twitter.com/jed_oyangoren/status/1070148191708864512
CebuFlashReport;2018-12-05 10:33;0;0;"FIRE RIGHT NOW AT PUROK 3 CAMPUTHAW https://www.facebook.com/75210525490079 1/posts/1826353054142667/ …";;;;"1070144178493878273";https://twitter.com/CebuFlashReport/status/1070144178493878273
jed_oyangoren;2018-12-05 10:30;0;0;"Fire somwhere in Camputhaw , Cebu. Hope they’re all safe. @cebudailynews @ABSCBNNews @rapplerdotcom pic.twitter.com/QS8rq8rbtU";;@cebudailynews @ABSCBNNews @rapplerdotcom;;"1070143405009776640";https://twitter.com/jed_oyangoren/status/1070143405009776640
NofNewsFilipino;2018-12-06 07:17;0;0;"Fire destroys 100 houses in Cebu FIRE gutted about 100 houses made from light materials in Purok 3, Barangay Kamputhaw in Cebu City at 10:20 a.m. on Wednesday morning.... https://is.gd/hCH4bs";;;;"1070457170590744576";https://twitter.com/NofNewsFilipino/status/1070457170590744576
cebudailynews;2018-12-06 00:01;1;0;"Kamputhaw fire displaces 700: Losses at P1M; fate of families uncertain since UP Cebu owns lots https://cebudailynews.inquirer.net/206732/kamputh aw-fire-displaces-700-losses-at-p1m-fate-of-families-uncertain-since-up-cebu-owns-lots?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1544024866 …";;;#Echobox;"1070347344821006341";https://twitter.com/cebudailynews/status/1070347344821006341
dzbb;2018-12-05 23:16;0;1;"Fire hits residential area in Cebu http://bit.ly/2UlFUlp";;;;"1070336139003719680";https://twitter.com/dzbb/status/1070336139003719680
gmanews;2018-12-05 23:05;2;5;"Fire hits residential area in Cebu http://bit.ly/2UlFUlp";;;;"1070333221383024641";https://twitter.com/gmanews/status/1070333221383024641
TempoPHL;2018-12-05 17:45;0;0;"100 houses lost in Cebu City fire http://tempo.com.ph/2018/12/05/100-houses-lost-in-cebu-city-fire/ … pic.twitter.com/WH3ehgf4Pc";;;;"1070252755694972930";https://twitter.com/TempoPHL/status/1070252755694972930
tatsdenniel;2018-12-05 17:00;0;3;"Despite the fire earlier this morning at the back UP Cebu , students are still in one force to support the @upmbt #UPFIGHT #UAAPSeason81finals pic.twitter.com/CZByCl8nto";;@upmbt;#UPFIGHT #UAAPSeason81finals;"1070241416448634880";https://twitter.com/tatsdenniel/status/1070241416448634880
kkkamunggay;2018-12-05 16:14;0;2;"Despite these facts, I still hope there will be efforts from UP Cebu in assisting the students affected by the fire earlier, esp that they have nowhere to stay for tonight Found this on fb, this might help pic.twitter.com/c8Csd41iyF";;;;"1070229802915778561";https://twitter.com/kkkamunggay/status/1070229802915778561
absolutewords;2018-12-05 15:45;0;0;"JUST IN: Firefighters continue to put out the fire that hit a residential area in Barangay Kamputhaw, Cebu City.";;;;"1070222491610578944";https://twitter.com/absolutewords/status/1070222491610578944
NofNewsFilipino;2018-12-05 15:13;0;0;"Fire hits residential area in Cebu City A fire engulfed a residential area in Barangay Kamputhaw, Cebu City. The post Fire hits residential area in Cebu City appeared... https://is.gd/DzEwUi pic.twitter.com/j6OrRjBeZ7";;;;"1070214578137513986";https://twitter.com/NofNewsFilipino/status/1070214578137513986
philredcross;2018-12-05 14:19;4;8;"Philippine Red Cross medical staff responded to a fire incident at the back of Harolds Hotel, Purok 3, Brgy. Kamputhaw in Cebu City at 10:20 am. PRC Cebu dispatched an ambulance with four manpower to the said residential fire . Updates to follow. pic.twitter.com/wvotdIURtW";;;;"1070200947509387264";https://twitter.com/philredcross/status/1070200947509387264
BrgyTalamban;2018-12-05 13:39;0;0;"Fire scene in Purok 3, Barangay Kamputhaw in Cebu City. https://www.facebook.com/talamban.cebuc ity/posts/1927399097315219 …";;;;"1070190911865282560";https://twitter.com/BrgyTalamban/status/1070190911865282560
VECO_Cebu;2018-12-05 13:36;0;1;"READ: Please be informed that there is an emergency power interruption in portion of Sitio Bakilid, Camputhaw, Cebu City. This is due to the fire incident in the area. Estimated restoration time is not yet determined. pic.twitter.com/zh6ZmZpcBM";;;;"1070190217787772928";https://twitter.com/VECO_Cebu/status/1070190217787772928
cebudailynews;2018-12-05 13:19;0;1;"DWUP operations chief Genevieve Alcoseba said that based on their ocular inspection, the property where the fire broke is owned by the UP Cebu . She added that they are planning to negotiate with UP Cebu Rep. to allow them to implement reblocking in the area. | Morexette Erram pic.twitter.com/QWFEgjrssK";;;;"1070185962494291970";https://twitter.com/cebudailynews/status/1070185962494291970
