username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
welovemabolo;2017-07-24 20:19;0;0;"thank you Kap Rey Ompoc for your Mabolo Fire Disaster Bigade..very alert to respond to the fire at Brgy Calamba , V.Rama..";;;;"889459914728505344";https://twitter.com/welovemabolo/status/889459914728505344
sunstarcebu;2017-07-24 18:41;3;2;"Brgy. Calamba , Cebu City Fire Update: Initial report of victims as of 5:05 pm from DSWS: - houses affected = 195 - families affected = 274 pic.twitter.com/N1DbMiK233";;;;"889435386493116418";https://twitter.com/sunstarcebu/status/889435386493116418
mega_cebu;2017-07-24 18:00;0;0;"A FIRE hit a residential area on A. Lopez St., Barangay Calamba , Cebu City, on Monday, July 24. Read more:... http://fb.me/28jOfEx3H";;;;"889424932978995201";https://twitter.com/mega_cebu/status/889424932978995201
broncophils;2017-07-24 16:19;0;0;"Fire hits Barangay Calamba , Cebu City | SunStar Philippines http://www.sunstar.com.ph/node/554641 via @sunstaronline";;@sunstaronline;;"889399557582241793";https://twitter.com/broncophils/status/889399557582241793
cebudailynews;2017-07-24 14:26;1;2;"LOOK: Cebu City Mayor Tomas Osmeña and former Mayor Mike Rama visit the fire victims in Sitio Mahayahay, Barangay Calamba , Cebu City. pic.twitter.com/AVV63hkCI0";;;;"889371109233012736";https://twitter.com/cebudailynews/status/889371109233012736
sunstarcebu;2017-07-24 14:23;1;3;"LOOK: Meanwhile, former Cebu City Mayor Mike Rama is also spotted at the fire scene on A. Lopez Street, Barangay Calamba , Cebu City. (JOB) pic.twitter.com/y7oGZm9oqf";;;;"889370477294112768";https://twitter.com/sunstarcebu/status/889370477294112768
TheFreemanNews;2017-07-24 14:19;1;0;"LOOK: More scenes from fire incident in Sitio Baho, Brgy Calamba , Cebu City. It was placed under control at 2:04pm | via Paul Rosaroso pic.twitter.com/D2EiCSQmaU";;;;"889369409155772417";https://twitter.com/TheFreemanNews/status/889369409155772417
TheFreemanNews;2017-07-24 14:15;0;1;"LOOK: Cebu City Mayor Tomas Osmeña sighted at the fire site in Sitio Baho, Brgy Calamba | via Rowena Capistranob pic.twitter.com/VmiG2haqru";;;;"889368309346344960";https://twitter.com/TheFreemanNews/status/889368309346344960
sunstarcebu;2017-07-24 14:05;4;7;"LOOK: Cebu City Mayor Tomas Osmeña spotted at the fire scene on A. Lopez Street, Barangay Calamba , Cebu City. (JOB) pic.twitter.com/ov0tahAi9L";;;;"889366030673248258";https://twitter.com/sunstarcebu/status/889366030673248258
TVPCV;2017-07-24 13:39;0;0;"A father saves his sewing machine, his source of livelihood, in Calamba Fire this morning. | @joworskialipon1 pic.twitter.com/ST9ApSuoPj";;@joworskialipon1;;"889359486703370240";https://twitter.com/TVPCV/status/889359486703370240
TVPCV;2017-07-24 13:38;0;0;"EARLIER: Fire in Calamba , Cebu City. | @joworskialipon1 pic.twitter.com/DstmA0OWR3";;@joworskialipon1;;"889359011912364032";https://twitter.com/TVPCV/status/889359011912364032
sunstarcebu;2017-07-24 13:37;4;2;"JUST IN: Fire hits residential area on A. Lopez St., Barangay Calamba , Cebu City. Details: http://snstr.co/1Xe pic.twitter.com/rolEHvcRtf";;;;"889358927543975936";https://twitter.com/sunstarcebu/status/889358927543975936
sunstaronline;2017-07-24 13:25;0;0;"BREAKING NEWS. Fire hits Barangay Calamba , Cebu City http://snstr.co/1Xe pic.twitter.com/eCqJeHHz6P";;;;"889355839965863936";https://twitter.com/sunstaronline/status/889355839965863936
davenvro;2017-07-24 13:14;0;0;"on-going fire at sitio mahayahay, brgy calamba ... hope everyone will be safe...";;;;"889353112070344708";https://twitter.com/davenvro/status/889353112070344708
sunstarcebu;2017-07-24 12:54;4;2;"BREAKING NEWS: Fire alarm in Sitio Baho, A. Lopez Street, Barangay Calamba . Details to follow. (JOB) pic.twitter.com/fEopvcdmm1";;;;"889347914132103168";https://twitter.com/sunstarcebu/status/889347914132103168
cebudailynews;2017-07-24 12:52;1;1;"LOOK: A thick smoke from a fire that hit Sitio Baho, Brgy Calamba , Cebu City, can be seen at NRA | via @jnj_mendoza pic.twitter.com/NhfVsbrG0s";;@jnj_mendoza;;"889347416528310272";https://twitter.com/cebudailynews/status/889347416528310272
cebudailynews;2017-07-24 12:46;1;0;"JUST IN: Fire alarm in Sitio Baho in A. Lopez St., Barangay Calamba , Cebu City. A total of 9 firetrucks are now in the area | via @nestleCDN pic.twitter.com/np8uS1VL12";;@nestleCDN;;"889346092143333377";https://twitter.com/cebudailynews/status/889346092143333377
TheFreemanNews;2017-07-24 12:46;1;0;"JUST IN: Fire hits Sitio Baho, Brgy Calamba , Cebu City | via Paul Rosaroso pic.twitter.com/eQUhIQm8hr";;;;"889345962946080768";https://twitter.com/TheFreemanNews/status/889345962946080768
TheFreemanNews;2017-07-24 12:44;0;1;"JUST IN: Fire hits Sitio Baho, Brgy Calamba , Cebu City | via Paul Rosaroso pic.twitter.com/ObBwlyb5UK";;;;"889345542513229824";https://twitter.com/TheFreemanNews/status/889345542513229824
TheFreemanNews;2017-07-24 12:42;3;1;"WATCH: Fire in Calamba , Cebu City https://www.pscp.tv/w/bEQgzjFtTUVQ TWR6V3FhUUd8MWt2S3BqWXFFbVBKRe2d8Qy0XWaXfVwYHk1rZWH8DRdp-WbXJVQQJFu5bucC …";;;;"889345142137606145";https://twitter.com/TheFreemanNews/status/889345142137606145
cebudailynews;2017-07-24 14:26;1;2;"LOOK: Cebu City Mayor Tomas Osmeña and former Mayor Mike Rama visit the fire victims in Sitio Mahayahay , Barangay Calamba, Cebu City. pic.twitter.com/AVV63hkCI0";;;;"889371109233012736";https://twitter.com/cebudailynews/status/889371109233012736
davenvro;2017-07-24 13:14;0;0;"on-going fire at sitio mahayahay , brgy calamba... hope everyone will be safe...";;;;"889353112070344708";https://twitter.com/davenvro/status/889353112070344708
willieleuterio;2017-07-24 13:14;0;0;"On going fire... Bry. Calamba & Bry. A. Lopez ( sitio Mahayahay 2) near Calamba cemetery....";;;;"889353093103493124";https://twitter.com/willieleuterio/status/889353093103493124
ledge_dancer;2017-07-24 13:14;0;0;"From our rooftop view. fire.. Brgy. Labangon, A. Lopez st. sitio mahayahay .";;;;"889352987600191489";https://twitter.com/ledge_dancer/status/889352987600191489
